province,year,jan_sum,jan_mean,jan_percentage_light,feb_sum,feb_mean,feb_percentage_light,mar_sum,mar_mean,mar_percentage_light,apr_sum,apr_mean,apr_percentage_light,may_sum,may_mean,may_percentage_light,jun_sum,jun_mean,jun_percentage_light,jul_sum,jul_mean,jul_percentage_light,aug_sum,aug_mean,aug_percentage_light,sept_sum,sept_mean,sept_percentage_light,oct_sum,oct_mean,oct_percentage_light,nov_sum,nov_mean,nov_percentage_light,dec_sum,dec_mean,dec_percentage_light,avg_sum_of_intensity,avg_mean,sum_of_percentage_light,GDPR
western_cape,2012,165691.9,0.117,0.00531,165691.9,0.117,0.00531,165691.9,0.117,0.00531,178992,0.127,0.00636,136382,0.096,0.00361,156936,0.111,0.00467,153276,0.108,0.00403,176233,0.125,0.00537,163176.0,0.115,0.00502,172159.0,0.122,0.00566,178418.0,0.126,0.00686,175655.0,0.124,0.00622,165692.0,0.1171,0.064,447228.3763
western_cape,2013,191889.0,0.136,0.00735,194161.0,0.137,0.00962,187756.0,0.133,0.00559,192320,0.136,0.00622,202258,0.143,0.00757,153163,0.108,0.00417,193398,0.137,0.00693,194442,0.138,0.00651,196020.0,0.139,0.00651,179065.0,0.127,0.00431,194433.0,0.137,0.00622,205800.0,0.146,0.0082,190392.0,0.1348,0.079,486784.9499
western_cape,2014,183962.0,0.13,0.00502,195554.0,0.138,0.00764,177461.0,0.125,0.00516,196412,0.139,0.00679,175090,0.124,0.00545,156124,0.11,0.00375,174805,0.124,0.00424,197299,0.14,0.00771,208856.0,0.148,0.00714,211341.0,0.149,0.00884,207969.0,0.147,0.00792,199447.0,0.141,0.00629,190360.0,0.1346,0.076,517720.1873
western_cape,2015,207833.0,0.147,0.00686,236952.0,0.168,0.01153,195279.0,0.138,0.00509,215043,0.152,0.00919,173520,0.123,0.00382,184498,0.13,0.00721,197853,0.14,0.00523,198953,0.141,0.00842,208639.0,0.148,0.00955,188419.0,0.133,0.00488,195415.0,0.138,0.00552,189589.0,0.134,0.0046,199333.0,0.141,0.082,552539.4773
western_cape,2016,252550.0,0.179,0.0186,243283.0,0.172,0.01577,198795.0,0.141,0.00658,203146,0.144,0.00622,201040,0.142,0.00523,189572,0.134,0.00516,169261,0.12,0.00368,195293,0.138,0.00778,193980.0,0.137,0.00354,190227.0,0.135,0.0053,212586.0,0.15,0.00679,221759.0,0.157,0.0104,205958.0,0.1458,0.095,596895.7015
western_cape,2017,231075.0,0.163,0.01337,282489.0,0.2,0.02468,237690.0,0.168,0.01188,190145,0.134,0.00545,196823,0.139,0.0046,205913,0.146,0.00488,177615,0.126,0.00332,189540,0.134,0.00361,203741.0,0.144,0.00488,195775.0,0.138,0.00424,203584.0,0.144,0.00545,196434.0,0.139,0.0041,209235.0,0.1479,0.09,632989.7586
western_cape,2018,214894.0,0.152,0.00537,190611.0,0.135,0.00431,206787.0,0.146,0.00509,172444,0.122,0.00368,192351,0.136,0.00375,182218,0.129,0.00318,195146,0.138,0.0046,189253,0.134,0.00396,189165.0,0.134,0.00325,190792.0,0.135,0.00354,226742.0,0.16,0.00615,202598.0,0.143,0.00474,196083.0,0.1387,0.052,663275.7378
western_cape,2019,198396.0,0.14,0.00431,192795.0,0.136,0.00396,199205.0,0.141,0.00488,192579,0.136,0.00375,195575,0.138,0.00403,153862,0.109,0.00127,171606,0.121,0.00283,166624,0.118,0.00262,199216.0,0.141,0.00424,187715.0,0.133,0.00311,202669.0,0.143,0.00339,195522.0,0.138,0.00382,187980.0,0.1328,0.042,691934.4647
eastern_cape,2012,97989.7,0.063,0.00241,97989.7,0.063,0.00241,97989.7,0.063,0.00241,90669,0.058,0.00077,89254,0.057,0.00109,96766,0.062,0.00192,118726,0.076,0.0034,152066,0.097,0.00968,100970.0,0.065,0.00211,74599.0,0.048,0.00083,78416.0,0.05,0.00103,80441.0,0.052,0.0009,97990.0,0.0628,0.029,252204.7387
eastern_cape,2013,77298.0,0.05,0.00077,84857.0,0.054,0.00109,95950.0,0.061,0.00115,88742,0.057,0.00083,95953,0.061,0.00141,110527,0.071,0.00199,111887,0.072,0.00154,167810,0.108,0.00878,198821.0,0.127,0.01442,118225.0,0.076,0.00468,83109.0,0.053,0.00109,84345.0,0.054,0.0009,109794.0,0.0703,0.039,273263.5384
