year,agriculture,mining,manufacturing,utility,construction,retail,transport,finance,personal,government,tax less subsidy,gdpr,province
2008,14905.01417,837.7417541,52326.49083,4146.112549,15594.49882,46890.08871,33648.28372,86129.05231,18286.82485,25867.60699,32138.16376,330769.8785,Western Cape
2009,14933.19498,826.5094882,51786.8202,5995.895053,15575.73643,48767.37231,34183.84622,88012.45176,20847.66483,31047.37478,31008.53631,342985.4024,Western Cape
2010,14523.5648,884.614182,55382.81731,7443.098891,14643.82961,53607.97354,35029.94033,98686.67681,23370.5738,34996.56742,34217.93612,372787.5928,Western Cape
2011,15602.88449,930.5914443,56375.46014,8593.875564,18933.43946,65508.87264,38581.50756,103256.2666,25954.23174,39248.01892,40625.00826,413610.1568,Western Cape
2012,15721.16851,1065.975933,60583.68166,10803.30336,21494.40167,64546.51556,43288.80247,114859.9647,28203.5114,42597.90382,44063.14713,447228.3763,Western Cape
2013,16577.28404,1197.397823,65270.58683,11847.48076,25856.24493,74107.55907,48113.94709,118969.3188,29414.67767,47217.16261,48213.29023,486784.9499,Western Cape
2014,18189.12442,1063.622018,69777.38502,12897.96582,26546.89306,78719.42064,52550.92696,121516.6405,31406.74692,52117.84283,52933.61913,517720.1873,Western Cape
2015,18392.59992,1369.919679,75318.94673,14055.96303,28927.54162,84959.54209,56002.59713,126465.8742,33905.55998,56015.6244,57125.30851,552539.4773,Western Cape
2016,21452.60695,1426.098569,81691.18863,15266.33754,29807.37442,91430.93552,57757.02621,138400.2664,35356.61106,61133.88418,63173.372,596895.7015,Western Cape
2017,24021.46392,1586.910706,87519.64721,16226.34402,31030.83286,98171.15424,61920.98191,143391.0222,38670.09536,65882.94861,64568.3576,632989.7586,Western Cape
2018,23316.5732,1618.46006,90381.00055,16994.43739,31767.90184,102331.8256,63813.05639,150085.2164,40320.09536,70224.08195,72423.08903,663275.7378,Western Cape
2019,21187.87924,1662.094959,93981.00055,17510.91515,32548.28209,108331.8256,65996.97285,157028.8176,43011.09536,75036.23005,75639.35125,691934.4647,Western Cape
2008,3476.663896,621.8850966,25422.49195,1550.076168,6562.250049,26893.75645,15637.94324,31992.20874,11948.98143,32279.77937,17687.43802,174073.4744,Eastern Cape
2009,3458.327984,840.6527664,25706.24969,2322.53457,7077.620284,30600.11866,16011.19963,36619.58777,12829.20366,38033.32449,17716.33262,191215.1521,Eastern Cape
2010,3141.503185,586.8020682,27316.86542,2628.773354,7526.759455,37517.28366,16540.43176,37585.60407,14448.33393,44856.11471,19451.59442,211600.066,Eastern Cape
2011,3634.631433,706.6283383,27231.61626,4123.449892,7518.284506,37181.65807,18567.74376,39726.38812,15784.49084,48941.35682,22727.88556,226144.1336,Eastern Cape
2012,3993.651378,908.4760077,28011.10511,4964.142363,8768.132946,46692.16758,21182.61572,44834.59422,17266.58859,51355.88958,24227.37522,252204.7387,Eastern Cape
2013,4058.831754,814.3350545,30055.18707,5468.518945,11702.22739,50520.62042,23696.27857,46001.07261,18068.55404,55923.1594,26954.75317,273263.5384,Eastern Cape
2014,4863.27588,829.3202451,30809.50447,5413.592599,11712.83339,53242.64869,25120.08198,52200.6044,18739.36908,60315.25768,30330.97881,293577.4672,Eastern Cape
2015,5099.468227,578.1289585,34647.69011,6306.824194,12066.93671,57445.26076,26125.08214,56090.08125,20426.78271,64626.86532,32847.16881,316260.2892,Eastern Cape
